Gene	Human_CBC	Human_DFC	Human_STR	Human_MD	Human_HIP	Monkey_DCBC	Monkey_DDFC	Monkey_DSTR	Monkey_DMD	Monkey_DHIP	Monkey_CCBC	Monkey_CDFC	Monkey_CSTR	Monkey_CMD	Monkey_CHIP	Monkey_BCBC	Monkey_BDFC	Monkey_BSTR	Monkey_BMD	Monkey_BHIP	Mouse_CBC	Mouse_DFC	Mouse_STR	Mouse_MD	Mouse_HIP
PDPR	-1.17310337991951	-1.25789181486989	-1.22591235181063	-0.123643509465587	-1.21059847335016	0.420529387669454	0.438440397802768	0.567344662197486	0.483078241594161	0.526664719804591	0.400825524137247	0.422609283508291	0.447538846182682	0.520702057148179	0.47262167810462	0.368354945657271	0.367048693630245	0.357065286803607	0.461763350831763	0.43059653385462	0.245161219533652	0.421378868213955	0.52909913474749	0.454152510690141	0.368171389300307
PDS5B	1.06104784178883	-0.123567912920852	-0.572168271150231	-0.88309947223493	-0.853176834532224	0.743517839022985	0.471690810755687	0.369423346983905	0.299540428636175	0.420267350166473	0.695509247340108	0.648314534170396	0.444446481902139	0.381245490128937	0.511148585799923	0.637794148869982	0.794333693908437	0.745079615258814	0.484406984269673	0.617898175517763	-0.531967989203407	-0.44048597612012	-0.304675079788372	-0.276807310548683	0.0424915972788012
PDXK	0.836164505316805	1.21427498178744	1.36752161551933	1.39722850254115	1.44192670752062	0.666787083459251	0.782063009623639	0.784177109730868	0.887067937948631	0.770518219632437	0.550897500636217	0.586789985863789	0.703732679780506	0.793650764382874	0.749244830756664	0.536534974812459	0.615580542347041	0.599536672712417	0.720664197842871	0.670246212666542	1.85862948148298	1.9016220761958	2.05642190046546	2.18434995989906	1.72836346186071
PDXP	1.42221600998906	1.42050414353518	1.42242999617959	1.37694191575642	1.43514734594829	0.746927094879029	0.860088386561831	0.850652847886599	0.863357557063671	0.825506156313145	0.713736584516157	0.774729915920889	0.882232496879875	0.884549725119957	0.886936284742469	0.681334425703195	0.630095917634421	0.749448991720258	0.823677736638169	0.773389054352112	1.34054334232494	1.31802749550322	1.40835194280349	1.33674761399446	1.31455854964515
PDZD11	-0.454358178231988	-1.27445659648945	-1.24229874520626	-1.20285996464468	-1.22700054315495	-0.296283742344076	-0.0274342607154532	-0.0463377748155493	-0.32210448717646	-0.196960155153607	-0.327566539054441	0.0102580190985231	-0.202646577217996	-0.119298996039677	-0.418064587646324	-0.212063380614275	-0.0837256452475821	-0.0653239327020483	-0.022508073866849	-0.223976565615747	-0.428350761371801	-0.4945940829393	-0.535857930182407	-0.29624773132631	-0.509248285675276
PDZD8	-1.16114908908364	-1.24571659108969	-1.21386824455198	-1.17477153757141	-1.19854284382735	0.28105451038406	0.345062796516943	0.45851089559323	0.380700829432397	0.371454117084192	0.277950048914676	0.481550457037204	0.415092037320755	0.443923694054659	0.303833451243425	0.379384232206346	0.309870765433202	0.449567693346877	0.419521265760618	0.327872311899025	-0.491261221126704	-0.177675171569819	-0.194768478781371	-0.160164785882913	-0.218052236338403
PELO	-1.17088166409736	-1.25562903845913	-1.22367394352463	-1.18445925513379	-1.20835792364089	0.0941352736071249	0.0666799673280901	0.328678912466971	0.154671310380092	0.228323679409799	0.184069026769544	0.162046834287779	0.198691773376291	0.250381873141779	0.0310967933444275	0.177878684108635	0.217491354185297	0.240515824995696	0.307774141572587	0.142413757309415	-0.198912614030382	-0.711026510216017	-1.29762437164472	-0.813362924011223	-0.589710351939413
PELP1	-0.252766493027215	-0.464323897917696	-1.22841032304719	-1.18913864690491	-1.21309883432668	0.203693761168116	0.139998555363519	0.165744147601279	-0.0725046072342882	-0.0936358681270255	0.357138704368152	0.415635642262979	0.213650163127416	0.0400088248218511	0.0820765074200986	0.315733687185291	0.50071551430473	0.41930701430016	0.261909427109945	0.355510519506416	-1.24988735346526	-1.39510757500136	-1.04370222449061	-1.02720755256513	-1.01884137201481
PEPD	0.947015434971714	0.750222688059966	0.836697776697944	0.757376963421791	0.664367927158854	0.446824109538819	0.409713234228921	0.511735781568273	0.384250773069592	0.425969736569517	0.528892759479247	0.569155879385081	0.579088645768966	0.489292224644625	0.471599906558694	0.522865196585891	0.467210663109393	0.488288529616487	0.519315307475605	0.478656686521063	0.970481814354908	0.691919402309853	0.714803391621388	0.846849010398231	0.651704384707266
PEX5	-1.18609856145146	-0.839501462662612	-0.681637493332764	-1.19960601778751	-0.680236736152202	-0.087869500989004	-0.00566721923420686	0.0904163491672488	-0.081972800979567	-0.128845552245312	0.0489405496218165	0.170860072982251	0.0863089250290171	0.0945272315876471	-0.119531590897771	0.162670961241735	0.164174817706565	0.167719965751822	0.142830857071036	0.103746606754752	0.20815506673665	0.162432928436452	-0.00906422190747477	-0.0318580087505655	-0.141421697039223
PEX5L	-1.32895759168453	0.0853145046085607	-0.0795773373922337	0.232506639284823	0.0415479432232287	-0.63272194258283	0.233379507886954	0.0751877589410037	0.0356167677498401	0.336735792242111	-0.486671726996348	0.129876181876513	-0.106749651003499	0.0944434005243321	0.125045838260986	-0.465253108541074	0.0191959718877557	-0.330750872534681	-0.105809444013314	-0.098805303214311	0.254412757732904	0.0658113091164906	-0.0469630498409217	-0.180901234712382	0.159353169710049
PFAS	1.01642694610583	0.541697687624864	0.593593907358478	0.0736892688053946	0.521349689476891	0.666868562068763	0.543620267691122	0.541001393710698	0.464486588925281	0.509209799955155	0.73014791029369	0.547644402603662	0.509011447879411	0.433634087894759	0.427100482102902	0.686093485657439	0.608008636773685	0.587264784852481	0.463495202776531	0.562469583941756	1.11480581026322	0.919946423904967	0.718593274414732	0.909058356886641	0.889259056534714
PFDN1	0.285977764534978	0.757924593555187	0.712476812283052	0.608760555173463	1.14846758614889	0.179319671858797	0.332868943738755	0.238656889351985	0.225314257535474	0.330429407802325	0.387354957542032	0.454925267715801	0.452904718280836	0.446557612490648	0.254281419982748	0.524246729007128	0.537083819705426	0.598742255081889	0.557628914516363	0.564217796199845	0.704037514216488	0.193351846618841	0.31686569832018	0.314181481091218	0.28770932303617
PFDN2	0.655739016937836	0.522841469677208	0.543426421100746	0.501832167745416	0.59356003271016	0.24890102961316	0.395120973175939	0.510161468468767	0.308149894466093	0.49432086798733	0.433124697329723	0.579619922292999	0.568553785381406	0.54389260501381	0.501641982884642	0.566906634722169	0.625705735798515	0.715376424679965	0.623547035244485	0.618933599432376	0.866864586523299	0.514135622761119	0.392663354187077	0.512473773023025	0.414149712879814
PFDN5	0.480719905916142	0.672446115728724	0.695843258771591	0.640450051051183	0.734665182170027	0.150584149493314	0.360085643866375	0.358598190110344	0.25664176904348	0.297449032986293	0.317204791389079	0.472769720299839	0.465455573850659	0.414966471020977	0.307725890361351	0.466732590754209	0.60213765968632	0.55284327778188	0.509536561690153	0.544665835742448	0.73364243645409	0.421378868213955	0.373713940220354	0.516361857178552	0.314530011790882
PFDN6	0.607291579609085	0.432391543625999	0.552297695971506	0.392682610478866	0.82926462220746	0.401213190790188	0.421371285352493	0.534271458743833	0.451064931872146	0.499652787023404	0.520632651074267	0.53104467606088	0.556882761213737	0.579846348523015	0.524604689101995	0.586001607172655	0.566369318721172	0.706745750715175	0.671303017353555	0.672336689898128	0.870565201803001	0.436838327305149	0.521519369160801	0.687437560021679	0.394992078055019
PFKL	1.18059507935541	1.47632205255805	1.54582147595061	1.6959350525009	1.47376696829475	1.04634222130563	1.08155706979901	1.08171369834756	1.18536598628275	1.15469869507933	1.18487694553281	1.10135840448926	1.21954004962882	1.14610503006002	1.31195307750216	1.19556268629627	1.12179160142617	1.1268198298108	1.18413929461308	1.1987664561642	0.61522274750368	1.97891937165177	1.70017291789105	1.78387729187991	2.01572798423262
PFKM	1.69284588141399	1.64066714568345	1.76105500379773	1.85911238886212	1.79368539482263	1.35263426769527	1.2545638280869	1.2113574862614	1.37504038824373	1.30956538632938	1.37629587245598	1.16274825773733	1.23899753142097	1.23444590888252	1.45001767364317	1.29662236064909	1.17419333129482	1.15768215549	1.24776056183263	1.28358102881557	1.78831779116867	2.35767611938603	2.19285768102587	2.2659997271651	2.16132600890106
PFN2	1.21138921616411	1.52757756337371	1.53761361413171	1.52287680511862	1.48647101947072	0.918696748112227	0.968282694764897	0.987455429147784	1.00523725149332	1.06303958018793	1.04388551083717	0.938516145378309	1.09519906183974	1.06194364581827	1.11483289276004	1.03176824080745	0.933837061163388	1.18835142354352	1.01372919435618	1.08740488002025	1.75501225365137	1.78567613301184	1.67743362113097	1.79165346019097	1.62874376077178
PGAP1	0.0557798299131362	-0.0555173240872553	0.0575761052504654	-0.0656052737634296	0.103113737602251	0.926416984247931	0.661918219295568	0.730083504048301	0.912911648640979	0.884958615011488	0.783865128601877	0.661836148444407	0.781053451201616	0.832883403753943	1.04116362662445	0.709189329609426	0.854980444248095	0.820158086155751	0.842885224488267	0.960567768858222	-0.4468538377703	0.146973469345258	0.350974643460284	0.21309129304755	0.000344800664253894
