ENSG00000026652	AGPAT4	Golgi apparatus
ENSG00000026751	SLAMF7	Vesicles
ENSG00000026950	BTN3A1	Vesicles
ENSG00000027001	MIPEP	Mitochondria
ENSG00000027075	PRKCH	Cytosol
ENSG00000027697	IFNGR1	Plasma membrane
ENSG00000028116	VRK2	Endoplasmic reticulum
ENSG00000028203	VEZT	Nucleoplasm
ENSG00000028277	POU2F2	Nucleoplasm
ENSG00000028277	POU2F2	Vesicles
ENSG00000028310	BRD9	Nucleoplasm
ENSG00000028528	SNX1	Endosomes
ENSG00000028528	SNX1	Lysosomes
ENSG00000028839	TBPL1	Nucleoplasm
ENSG00000029153	ARNTL2	Nucleoli
ENSG00000029153	ARNTL2	Nucleoplasm
ENSG00000029363	BCLAF1	Nuclear speckles
ENSG00000029364	SLC39A9	Endoplasmic reticulum
ENSG00000029725	RABEP1	Vesicles
ENSG00000029993	HMGB3	Nucleoli
ENSG00000029993	HMGB3	Nucleoplasm
ENSG00000030419	IKZF2	Nuclear bodies
ENSG00000030419	IKZF2	Nucleoplasm
ENSG00000030582	GRN	Lysosomes
ENSG00000031003	FAM13B	Nucleoplasm
ENSG00000031691	CENPQ	Nucleoplasm
ENSG00000031698	SARS	Cytosol
ENSG00000031823	RANBP3	Nucleoplasm
ENSG00000032219	ARID4A	Nucleoplasm
ENSG00000032389	EIPR1	Nucleoli
ENSG00000032389	EIPR1	Nucleoplasm
ENSG00000032444	PNPLA6	Cytosol
ENSG00000032444	PNPLA6	Endoplasmic reticulum
ENSG00000033011	ALG1	Endoplasmic reticulum
ENSG00000033030	ZCCHC8	Nucleoplasm
ENSG00000033050	ABCF2	Cytosol
ENSG00000033100	CHPF2	Cytosol
ENSG00000033100	CHPF2	Nucleoplasm
ENSG00000033122	LRRC7	Cytosol
ENSG00000033122	LRRC7	Plasma membrane
ENSG00000033170	FUT8	Golgi apparatus
ENSG00000033178	UBA6	Cytosol
ENSG00000033178	UBA6	Nucleoplasm
ENSG00000033327	GAB2	Plasma membrane
ENSG00000033627	ATP6V0A1	Golgi apparatus
